buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0xda1ec4da97019972759feda1285878b97fdcc014,275,1174505.75,0x00668bd79ede077b99bbe1c4db59418bc333d4cf,2021-11-25,4613,0x767be7b55175d8471d345af14e74fccb549ead09533b8915a3032f5001cc4d33,"CryptoPunk #4613"
0xd040e9606d81dcd3c0a0593e000307df8a252577,85,363029.05,0xdda77c99d0873084e082c20192532d461e47391e,2021-11-25,3616,0x1f80c4aaf03cd5405c6367c556128b1ff39fd4c2c0e9eb6a31beadb207d36779,"CryptoPunk #3616"
0x542d53a9ac94b2f1fea63fd2f218d0ec7cbe34ed,92.75,396128.7575,0xc264c52c30ec9ccf1322fcf740b2d8e92082b07d,2021-11-25,7853,0x2b8a95b6e9f78f7a4de7ad67780082e0888ffea04ba59940c7467c480c72844f,"CryptoPunk #7853"
0x0000000000000000000000000000000000000000,97,414280.21,0x1f9e29ce5ba813ec9f11637e4ce5a73e1a7c2833,2021-11-25,1085,0x728f4c13647705b90f8b664e0fac3faed81083d66cc4a66d39f08b735989594f,"CryptoPunk #1085"
0xccf2075c74de218cdd79b1ef699a2a31e2940f83,108,461260.44,0x7d4c4d5380ca2f9c7a091bb622b80613da7eae8c,2021-11-25,3245,0x20f70f220e040f3bdc980d29c24cec26354f2105cf7776f312e306ba01a867ee,"CryptoPunk #3245"
0x0000000000000000000000000000000000000000,100,427093,0xccf2075c74de218cdd79b1ef699a2a31e2940f83,2021-11-25,5427,0xbbe1a957e32aaba72a5e2f9f8ade3acb337154a0d6a5fba2c0e479c3176905ce,"CryptoPunk #5427"
0x0000000000000000000000000000000000000000,114,494940.12,0xaea8e3bd369217cc6e3e6abddf0da318fba8e59b,2021-11-24,3324,0xaf14e46e221ec5f93cbda3c28322a259f182e8fe72160aea48fe977714b8ab6b,"CryptoPunk #3324"
0x0000000000000000000000000000000000000000,217,942122.86,0x0a846cce31246cb1c30462f6007760728c427389,2021-11-24,5169,0x1c557be073488f117cfbd8b2f8a782ad298a18d053fd1e62fcf4cf5374fb7400,"CryptoPunk #5169"
0x0000000000000000000000000000000000000000,110,477573.8,0x327788f46b5bd167676e0cc15180af017296278d,2021-11-24,6544,0xe02ab43a2b0a473b09ef8831bb830b25eaef3efb31845c9e77ef284ad8591f42,"CryptoPunk #6544"
0xc3d6e933b2ced203bb1ae344d009849c686161f5,89.5,388571.41,0xc9e1c575ef2d3351f737a27fef2b407f209adf71,2021-11-24,4361,0x3620554125a911f6d043011956a889bb14824edd04399ab1a56e09f74bcf009e,"CryptoPunk #4361"
